name,address,type,number,scheme,id,postal
Go-Ang Pratunam Chicken Rice,23 SERANGOON CENTRAL #B1-05/06 NEX 556083,Restaurant,EERN21100012903,Eating Establishment,825dda24-e8f5-4381-ac0b-8b2ff9fd9c36,556083
Go-Ang Pratunam Chicken Rice,370 ALEXANDRA ROAD #01-07/08 ANCHORPOINT SHOPPING CENTRE 159953,Restaurant,EERT20240001027,Eating Establishment,825dda24-e8f5-4381-ac0b-8b2ff9fd9c36,159953
Go-Ang Pratunam Chicken Rice,68 ORCHARD ROAD #03-24 PLAZA SINGAPURA 238839,Restaurant,EERN21100012906,Eating Establishment,825dda24-e8f5-4381-ac0b-8b2ff9fd9c36,238839
Go-Ang Pratunam Chicken Rice,3 TEMASEK BOULEVARD #B1-126 SUNTEC CITY MALL 038983,Restaurant,EERT20250000850,Eating Establishment,825dda24-e8f5-4381-ac0b-8b2ff9fd9c36,038983
Go-Ang Pratunam Chicken Rice,50 JURONG GATEWAY ROAD #B1-08 JEM 608549,Restaurant,EERN21100012904,Eating Establishment,825dda24-e8f5-4381-ac0b-8b2ff9fd9c36,608549
Go-Ang Pratunam Chicken Rice,1 HARBOURFRONT WALK #B2-30 VIVO CITY 098585,Restaurant,EERN21100012905,Eating Establishment,825dda24-e8f5-4381-ac0b-8b2ff9fd9c36,098585
Godaime,5 CHANGI BUSINESS PARK CENTRAL 1 #01-48 CHANGI CITY POINT 486038,Restaurant,EERT20230001057,Eating Establishment,5c586d68-a0a7-4b4d-89d4-03e10c25f06c,486038
Goh Chew Kee Seafood,500 CLEMENCEAU AVENUE NORTH #01-19 229495,Hawker,EEHN21050012321,Eating Establishment,e9505aa3-1211-4404-a3cd-01c9790e777a,229495
GOLDEN PILLOW 933 PTE. LTD.,1 KAKI BUKIT ROAD 1 #05-11 ENTERPRISE ONE 415934,Catering Company,FPCA20220000508,Food Preparation Area,bd84c008-7b11-4949-8136-5d50eacf4019,415934
GOLDENROY SOURDOUGH PIZZA,"125 DESKER ROAD, 1ST AND 2ND STOREY 209642",Restaurant,EERT20230000922,Eating Establishment,434a2e86-9027-4c2c-9a08-1385e3da3688,209642
